Ｈ25基準地番号,所在地,｢住居表示｣,地積(平方メートル),価格(円/平方メートル),変動率,周辺の土地利用,X座標,Y座標
(県)藤枝5-3,藤枝市上青島字玄力東409番10外,,899,"63,200",-0.8,中規模店舗、営業所等が建ち並ぶ路線商業地域,-25431.27403,-128246.4904
(県)藤枝5-4,藤枝市岡出山2丁目9番13,「岡出山２−９−26」,146,"76,000",-1.3,市役所を中心に店舗併用住宅、事務所等が建ち並ぶ既成商業地域,-22126.31567,-125556.1544
(県)藤枝5-5,藤枝市岡部町内谷字八反田623番4外,,146,"61,100",-3.5,小売店舗が建ち並ぶ古くからの路線商業地域,-20022.00524,-120895.2899
(県)藤枝9-1,藤枝市仮宿字芝添1586番1,,508,"45,500",0.0,中小工場のほか一般住宅も見られる工業地域,-20086.02242,-122399.0939
(県)御殿場-1,御殿場市川島田字石原坂457番8,,155,"77,800",0.0,一般住宅等が見られる住宅地域,38878,-77894
(県)御殿場-2*,御殿場市新橋字樋口1892番12外,,238,"98,000",0.5,一般住宅の中に店舗、空地等が見られる住宅地域,39755.67337,-77629.54746
(県)御殿場-3,御殿場市北久原字両賃田477番6外,,204,"67,500",0.0,一般住宅等が建ち並ぶ郊外の住宅地域,39152.85091,-75770.73331
(県)御殿場-4,御殿場市新橋字子ノ神1629番4,,149,"86,600",0.5,一般住宅及びアパート等が混在する住宅地域,39660.71101,-77900.06927
(県)御殿場-5,御殿場市大坂字堀副238番11外,,193,"64,900",-0.6,小規模の建売住宅が建ち並ぶ郊外の住宅地域,38277.27506,-83620.65139
(県)御殿場-6,御殿場市北久原字馬場623番5,,239,"72,300",0.0,一般住宅、農家住宅等が多い古くからの住宅地域,39781.17701,-76132.63023
(県)御殿場-7,御殿場市神山字松葉1689番10,,193,"50,000",0.0,一般住宅と農家住宅が混在し、周囲に農地の多い住宅地域,38033.86265,-85058.49605
(県)御殿場-8,御殿場市東山字中休場下842番4,,203,"51,000",0.0,農家住宅、一般住宅のほかに別荘も混在する住宅地域,41848.79428,-77363.16114
(県)御殿場-9,御殿場市川島田字大ヌカリ1158番14,,221,"64,400",-0.3,中規模一般住宅が多い市街地に近い住宅地域,37524.0513,-77977.25473
(県)御殿場-10,御殿場市中畑字大子山1674番25,,235,"47,600",-0.4,一般住宅が建ち並ぶ既成の住宅地域,35734.96346,-76126.80812
(県)御殿場5-1,御殿場市川島田字稲谷643番5外,,321,"99,000",-1.0,小売店舗が建ち並ぶ県道沿いの既成商業地域,39203.85771,-77666.78566
(県)御殿場9-1,御殿場市駒門1丁目94番1外,,33650,"26,400",0.0,大中規模工場が建ち並ぶ工業団地,36603.88875,-82253.35542
(県)袋井-1,袋井市方丈3丁目3番12,,232,"64,500",-0.9,一般住宅の中に空地、アパートが見られる区画整然とした住宅地域,-52411.12984,-138711.2001
(県)袋井-2,袋井市睦町15番21外,,188,"61,600",-0.6,アパートも混在する区画整理済みの一般住宅地域,-53270,-139472
(県)袋井-3,袋井市鷲巣字東側591番8,,357,"34,200",-0.6,一般住宅のほか畑も見られる高台の住宅地域,-52382.70523,-137171.8923
(県)袋井-4,袋井市下山梨1丁目10番18,,199,"48,800",0.0,一般住宅が多い郊外の区画整然とした住宅地域,-54076.73707,-135304.4234
(県)袋井-5,袋井市広岡字中ノ立1905番8,,250,"37,700",-0.8,中規模住宅が建ち並ぶ河川沿いの住宅地域,-50582.22911,-138336.4752
(県)袋井-6,袋井市川会字馬草田312番3,,302,"21,500",-1.4,農家住宅、一般住宅が混在する郊外の住宅地域,-56960.67571,-132164.8796
