Ｈ25基準地番号,所在地,｢住居表示｣,地積(平方メートル),価格(円/平方メートル),変動率,周辺の土地利用,X座標,Y座標
(県)葵-1,静岡市葵区安東3丁目142番4,「安東３−11−38」,152,"190,000",0.5,中規模住宅のほかに大規模住宅も見られる閑静な既成住宅地域,-10520.9748,-111875.9371
(県)葵-2,静岡市葵区松富4丁目121番2,「松富４−１−22」,94,"104,000",2.0,一般住宅を中心にアパート、農地等が混在する住宅地域,-11453.22551,-109163.8435
(県)葵-3,静岡市葵区沓谷6丁目8番7,,218,"153,000",1.3,一般住宅のほかにアパート等が混在する住宅地域,-8238.616414,-111465.1027
(県)葵-4,静岡市葵区川合2丁目29番37,「川合２−16−16」,145,"127,000",0.8,一般住宅が多い区画整然とした住宅地域,-7652.591323,-110523.4513
(県)葵-5,静岡市葵区千代田6丁目24番10外,「千代田６−15−10」,214,"149,000",0.7,一般住宅のほかに共同住宅等が混在する住宅地域,-8557.913782,-111010.6752
(県)葵-6,静岡市葵区東草深町12番2,「東草深町12−２」,163,"216,000",1.4,中規模住宅のほかに事務所等も見られる利便性の良い既成住宅地域,-10570,-112789
(県)葵-7*,静岡市葵区西草深町19番7,「西草深町19−16」,329,"243,000",2.1,大規模住宅も見られる利便性の良い既成住宅地域,-11091.98512,-113022.7644
(県)葵-8,静岡市葵区瀬名3丁目2804番1,「瀬名３−11−11」,99,"100,000",2.0,一般住宅のほかに農地等が見られる新興住宅地域,-7258.954154,-108628.2908
(県)葵-9,静岡市葵区春日2丁目1番1外,「春日２−１−11」,270,"164,000",1.2,一般住宅のほかにマンション、事務所等も混在する交通至便な住宅地域,-9176.478073,-113269.984
(県)葵-10,静岡市葵区末広町75番2,,162,"146,000",0.0,一般住宅を中心に共同住宅、店舗等が混在する既成の住宅地域,-11716,-112732
(県)葵-11,静岡市葵区南沼上2丁目120番55,「南沼上２−５−５」,198,"100,000",0.6,中規模一般住宅を主とする分譲住宅地域,-8167.087424,-109882.8787
(県)葵-12,静岡市葵区沓谷1丁目104番3,「沓谷１−９−２」,251,"155,000",0.6,中規模一般住宅のほかに共同住宅等も見られる既存の住宅地域,-9200.691888,-112357.9663
(県)葵-13,静岡市葵区城東町23番8,「城東町23−14」,143,"202,000",1.0,小規模一般住宅を中心とする利便性のよい区画整然とした住宅地域,-10117.93325,-112514.176
(県)葵-14,静岡市葵区昭府1丁目863番2,「昭府１−６−５」,140,"132,000",1.5,一般住宅の中にアパート等が混在する区画整理済みの住宅地域,-11982.26074,-111128.8719
(県)葵-15,静岡市葵区建穂1丁目175番6,「建穂１−６−11」,181,"89,000",0.0,中規模一般住宅のほか、作業所等も混在する新興住宅地域,-14331.41524,-112632.3705
(県)葵-16,静岡市葵区大岩4丁目644番2外,「大岩４−19−13」,238,"163,000",0.6,一般住宅のほかに共同住宅等も見られる住宅地域,-10812.02675,-110758.1345
(県)葵-17,静岡市葵区北安東4丁目1064番2,「北安東４−４−４」,165,"166,000",0.6,中小規模一般住宅が多い既成住宅地域,-10125.01519,-110784.1906
(県)葵-18,静岡市葵区古庄6丁目811番3,「古庄６−３−３」,200,"129,000",1.6,一般住宅、共同住宅が混在する土地区画整理済みの新興住宅地域,-7174.536338,-110907.3792
(県)葵-19,静岡市葵区上足洗2丁目517番7,「上足洗２−９−40」,202,"180,000",0.6,中規模一般住宅のほかにアパート、農地等も見られる住宅地域,-9824.840303,-111750.9934
(県)葵-20,静岡市葵区長沼2丁目9番12,「長沼２−７−11」,208,"152,000",1.3,住宅、倉庫等が混在する区画整理済みの地域,-7725.516284,-111877.778
(県)葵-21,静岡市葵区新間字村口539番2,,165,"53,800",-0.4,農地の中に一般住宅、農家住宅が混在する山間の住宅地域,-17705.51703,-111892.2752
(県)葵-22,静岡市葵区安倍口新田字本井内14番2,,165,"62,300",-0.6,中規模一般住宅と農家住宅が混在する郊外の住宅地域,-12757.28726,-108374.0756
(県)葵-23,静岡市葵区南字中村1540番31,,132,"69,600",0.9,一般住宅、農家住宅等が見られる郊外の住宅地域,-10103.30052,-108281.7282
(県)葵5-1,静岡市葵区両替町1丁目6番6,,238,"296,000",0.0,中低層の店舗、事務所兼住宅が多い両替町通り沿いの商業地域,-10882.72414,-113762.0213
(県)葵5-2,静岡市葵区川辺町1丁目5番6,「川辺町１−４−10」,198,"165,000",0.6,小売店舗のほかに事務所、一般住宅等も混在する既成の近隣商業地域,-11109.79513,-114465.7476
(県)葵5-3,静岡市葵区沓谷5丁目5番5外,,515,"156,000",0.6,中低層の店舗、事務所、雑居ビル等が混在する路線商業地域,-8237.611412,-111391.1505
(県)葵5-4,静岡市葵区栄町2番5,,165,"529,000",0.0,中層の事務所ビル等が建ち並ぶ国道沿いの商業地域,-9919,-113800
(県)葵5-5,静岡市葵区御幸町9番2,,179,"1,260,000",0.0,中高層の店舗、事務所ビルが混在する駅前商業地域,-10276,-113879
(県)葵5-6,静岡市葵区鷹匠1丁目4番4,「鷹匠１−４−３」,155,"325,000",1.9,中層の店舗事務所を主に店舗併用住宅等が混在する商業地域,-10317.36913,-113484.7385
(県)葵5-7*,静岡市葵区昭和町4番3,,124,"635,000",-0.5,中高層の店舗、事務所ビルが建ち並ぶ商業地域,-10612.24408,-114061.5714
(県)葵5-8,静岡市葵区駒形通1丁目4番4外,「駒形通１−２−９」,142,"189,000",-2.1,中低層の小売店舗を中心とする駒形通り沿いの既存の路線商業地域,-11087.93351,-114217.7551
(県)葵5-9,静岡市葵区鷹匠3丁目8番7,「鷹匠３−８−８」,134,"293,000",1.4,低層店舗兼住宅、中層ビルが混在する商業地域,-10123.28706,-113179.6538
(県)葵5-10*,静岡市葵区呉服町2丁目6番8,,324,"1,390,000",0.0,中層の専門店舗ビルが建ち並ぶ中心的商業地域,-10577.58641,-113811.8668
(県)葵5-11,静岡市葵区八千代町24番3,,135,"197,000",0.5,中低層の事務所、店舗のほかに住宅等が混在する商業地域,-11313.95753,-113195.6958
(県)葵5-12,静岡市葵区四番町2番13,,290,"160,000",0.6,店舗、事務所、一般住宅が混在する近隣商業地域,-11555.22515,-113918.6218
(県)葵5-13,静岡市葵区二番町12番6,,249,"169,000",0.0,店舗、事務所を中心に住宅等も混在する商業地域,-11868,-113547
(県)葵5-14,静岡市葵区井宮町24番2,,130,"152,000",0.0,中低層の店舗、事務所の中に住宅等も混在する路線商業地域,-11707.72261,-112583.1459
(県)葵5-15,静岡市葵区田町2丁目3番3,,135,"159,000",0.0,低層店舗のほかに一般住宅や店舗兼住宅が混在する路線商業地域,-12110.12002,-113757.209
(県)葵9-1,静岡市葵区桜町1丁目931番11,「桜町１−２−40」,627,"90,500",0.7,中小倉庫、作業所のほか住宅も混在する地域,-12615,-111785
(県)駿河-1,静岡市駿河区池田574番2,,237,"150,000",0.7,中規模一般住宅が多い区画整然とした住宅地域,-7122,-112912
(県)駿河-2,静岡市駿河区みずほ2丁目14番6,,226,"123,000",0.0,新興一般住宅が多い区画整理済みの住宅地域,-12053.71807,-117548.0356
(県)駿河-3,静岡市駿河区丸子1丁目74番7,「丸子１−６−82」,198,"99,000",0.5,一般住宅の中にアパート、貸家が見られる住宅地域,-12966.68407,-116899.4855
(県)駿河-4*,静岡市駿河区馬淵3丁目396番2,「馬淵３−５−８」,165,"169,000",選定替,一般住宅、アパート等が見られる住宅地域,-9971,-114979
(県)駿河-5,静岡市駿河区大谷字井庄ノ谷5800番28,,298,"79,800",-2.4,郊外の丘陵地に造成された一般住宅地域,-6316.043162,-115501.2838
(県)駿河-6,静岡市駿河区中田2丁目204番3,「中田２−５−34」,169,"177,000",1.7,中規模一般住宅が多い住宅地域,-9613,-114919
(県)駿河-7,静岡市駿河区北丸子2丁目1417番5,「北丸子２−20−５」,115,"84,200",-0.2,一般住宅が多く農地の介在する新興住宅地域,-14127,-116309
(県)駿河-8,静岡市駿河区中島字江戸割705番11,,157,"89,800",-5.3,一般住宅のほかにアパート、店舗等が混在する住宅地域,-9505.622869,-117289.8662
(県)駿河-9,静岡市駿河区石田2丁目385番40,「石田２−11−18」,175,"151,000",0.7,中規模一般住宅が多い区画整然とした住宅地域,-8776.184576,-115583.5568
(県)駿河-10,静岡市駿河区宮竹1丁目140番2,「宮竹１−９−20」,242,"114,000",-5.0,一般住宅を主に事業所等も混在する区画整理済の住宅地域,-7814.832416,-115912.841
(県)駿河-11,静岡市駿河区小鹿3丁目24番1,「小鹿３−８−38」,172,"130,000",0.0,一般住宅の中にアパート、店舗等が混在する住宅地域,-7748.755176,-113891.4945
(県)駿河-12,静岡市駿河区池田字峰田坪1174番24,,135,"119,000",0.8,一般住宅を主とした閑静な普通住宅地域,-6481,-112841
(県)駿河-13,静岡市駿河区手越字本田屋敷裏478番4,,132,"89,400",0.0,一般住宅のほかに農地等が見られる住宅地域,-12338,-116009
(県)駿河-14,静岡市駿河区下島字松田220番5,,208,"95,500",-5.4,一般住宅を中心に共同住宅等も混在する住宅地域,-8400.828274,-116540.5164
(県)駿河-15,静岡市駿河区鎌田字間ノ田363番26,,149,"94,500",選定替,中小規模一般住宅が多い郊外の住宅地域,-12651,-117309
(県)駿河-16,静岡市駿河区安居字汐入畑327番3外,,222,"36,800",-5.9,農家住宅、一般住宅のほかに農地が介在する住宅地域,-3292.431869,-115498.0367
(県)駿河5-1,静岡市駿河区小鹿1丁目364番1外,「小鹿１−24−28」,226,"138,000",0.0,低層小売店舗を主とする路線商業地域,-7433.286944,-113615.3893
(県)駿河5-2,静岡市駿河区石田1丁目20番1,「石田１−１−34」,433,"217,000",2.4,中小の店舗、事務所等が混在する幹線道路沿いの路線商業地域,-9294,-115143
(県)駿河5-3,静岡市駿河区八幡2丁目6番9外,「八幡２−11−９」,238,"199,000",1.5,中低層の店舗、事務所が多い商業地域,-9499.624326,-114084.8906
(県)駿河5-4,静岡市駿河区小黒3丁目147番外,「小黒３−８−11」,170,"165,000",1.2,営業所、店舗、倉庫等が混在する路線商業地域,-8644.578483,-114221.8134
(県)駿河5-5,静岡市駿河区中野新田字橋下125番1,,272,"157,000",1.3,店舗、事務所ビル等が見られる路線商業地域,-10568.00604,-116053.261
(県)駿河5-6,静岡市駿河区中田本町1390番3,「中田本町55−70」,332,"176,000",1.1,店舗、事務所等が混在する路線商業地域,-9448.715573,-115920.3868
(県)駿河5-7,静岡市駿河区曲金6丁目291番1,「曲金６−４−28」,1241,"354,000",0.3,店舗、マンション等が建ち並び始めた区画整理中の商業地域,-7965.011729,-113027.817
(県)駿河5-8,静岡市駿河区下川原6丁目26番3,「下川原６−26−８」,680,"95,800",-6.1,沿道サービス店舗を主に事務所等も混在する路線商業地域,-11304,-118496
(県)駿河9-1,静岡市駿河区国吉田1丁目480番11,「国吉田１−３−27」,2034,"83,900",0.0,中規模の工場、事務所が建ち並ぶ工業地域,-6742,-111198
(県)駿河9-2,静岡市駿河区南安倍3丁目421番1,「南安倍３−16−５」,488,"104,000",0.0,事務所のほか中小工場、住宅も混在する地域,-11332.32843,-115389.1744
(県)駿河9-3,静岡市駿河区中島字郷蔵753番3,,487,"77,600",-5.5,小規模工場が多く、事務所、住宅等が介在する地域,-9675.322679,-117438.5789
(県)清水-1*,静岡市清水区宮代町45番,「宮代町８−17」,228,"133,000",-1.5,一般住宅等が多い区画整然とした既成の住宅地域,-1557,-107848
(県)清水-2,静岡市清水区三保字江湖852番15,,175,"48,500",-6.9,市開発公社の造成した中規模住宅の多い住宅地域,1308.650454,-110677.7106
(県)清水-3,静岡市清水区下野中258番7,「下野中18−１」,165,"101,000",-1.0,小規模一般住宅が多い郊外の新興住宅地域,-2885.549785,-106667.6336
(県)清水-4,静岡市清水区七ツ新屋字屋敷前180番10,,128,"111,000",0.0,中小規模の一般住宅が多い住宅地域,-4262.060389,-109719.5163
(県)清水-5,静岡市清水区高橋2丁目1585番2,「高橋２−11−20」,177,"98,500",0.0,中規模一般住宅の中に社宅等がみられる住宅地域,-2505.92922,-107582.7963
(県)清水-6,静岡市清水区八木間町字横廻り447番9,,197,"85,000",-0.2,中規模一般住宅、アパート等が混在する郊外の住宅地域,1974.454198,-103514.4321
(県)清水-7,静岡市清水区折戸4丁目598番13,「折戸４−９−19」,160,"54,800",-6.3,一般住宅を中心にアパートも介在する既成住宅地域,1276.354994,-111809.3495
(県)清水-8,静岡市清水区三光町345番1外,「三光町５−23」,154,"115,000",-0.9,中規模一般住宅が多い既成住宅地域,-1237.442284,-110585.2176
(県)清水-9,静岡市清水区春日1丁目116番,「春日１−５−35」,242,"120,000",0.8,一般住宅の中に事務所等が見られる区画整然とした住宅地域,-2423.541707,-109629.8446
(県)清水-10,静岡市清水区北矢部906番19,,216,"116,000",0.0,中規模一般住宅が多い区画整然とした住宅地域,-2720.488765,-111084.6948
(県)清水-11,静岡市清水区有東坂1丁目228番50,,131,"118,000",0.0,中小規模の一般住宅が建ち並ぶ既成住宅地域,-3005.910336,-109985.2316
(県)清水-12,静岡市清水区草薙杉道2丁目1357番29,「草薙杉道２−８−５」,160,"107,000",0.9,中小規模一般住宅の中にアパート等が見られる住宅地域,-4317.620945,-110713.6971
(県)清水-13,静岡市清水区神田町260番1外,「神田町13−９」,198,"126,000",-0.8,一般住宅の中にアパート等が混在する区画整然とした既成住宅地域,-1931.155497,-110437.191
(県)清水-14,静岡市清水区石川字柿木田36番4,,161,"98,100",-0.4,中規模一般住宅の中にアパート等が見られる郊外の新興住宅地域,-3893,-106754
(県)清水-15,静岡市清水区西久保字東江川228番17,,231,"97,000",-5.8,一般住宅を主にアパートも見られる住宅地域,-975.2949274,-107183.8638
(県)清水-16,静岡市清水区蒲原神沢字本村130番1外,,304,"51,000",-6.1,中規模一般住宅を中心とする既成住宅地域,7166.296265,-98393.36369
(県)清水-17,静岡市清水区蒲原字長堰堤外66番36,,170,"58,800",-6.2,一般住宅が建ち並ぶ閑静な住宅地域,10931.39152,-97301.27724
(県)清水-18,静岡市清水区由比町屋原字神力道304番2,,124,"73,500",-0.3,一般住宅の中に小工場、農地等が見られる住宅地域,5067.399079,-99137.68003
(県)清水-19,静岡市清水区蒲原中字浜道外145番2,,155,"54,900",-6.2,中小規模一般住宅と作業所が混在する地域,7867.06146,-98332.72639
(県)清水-20,静岡市清水区由比字東町193番54外,,98,"64,900",-1.2,一般住宅が多い住宅地域,6441.823506,-98670.49607
(県)清水-21,静岡市清水区興津井上町字鼻ヶ崎374番21,,132,"51,300",-1.9,農家住宅、一般住宅等が混在する周囲に農地が多く見られる住宅地域,2530.794195,-103483.9733
(県)清水-22,静岡市清水区草ケ谷字足高299番7外,,229,"63,400",0.0,農家住宅のほかに一般住宅、農地等が混在する住宅地域,-1608,-105334
(県)清水5-1*,静岡市清水区万世町2丁目12番,「万世町２−10−22」,294,"140,000",-3.4,中低層店舗ビル、事務所ビルが建ち並ぶ商業地域,-999.820868,-109421.7798
(県)清水5-2,静岡市清水区銀座289番,「銀座３−５」,257,"131,000",-3.0,中小規模小売店舗ビルが建ち並ぶ既成商業地域,-1213.025771,-108868.4608
(県)清水5-3,静岡市清水区大坪1丁目42番1,「大坪１−３−10」,415,"148,000",2.1,店舗、事務所等が建ち並ぶ幹線道路沿いの路線商業地域,-2724.204528,-109688.614
(県)清水5-4,静岡市清水区港町1丁目329番,「港町１−５−10」,105,"118,000",-3.3,低層の店舗、事務所等が建ち並ぶ港に近い既成商業地域,-664.290438,-109993.8378
(県)清水5-5,静岡市清水区入江3丁目1196番2,「入江３−３−11」,165,"114,000",-1.7,低層の小規模小売店舗が建ち並ぶ既成商業地域,-2043.196692,-109090.4494
(県)清水5-6,静岡市清水区草薙1丁目108番,「草薙１−８−16」,255,"201,000",0.5,小売店舗、飲食店等が混在する駅前商業地域,-5222.181521,-110681.8246
(県)清水5-7,静岡市清水区大手1丁目79番3外,「大手１−７−13」,299,"119,000",-2.5,低層の店舗併用住宅、一般住宅が混在する近隣商業地域,-1623.924455,-108060.7348
(県)清水5-8,静岡市清水区由比町屋原字南側83番,,300,"68,500",-3.1,小売店舗の中に一般住宅等が見られる路線商業地域,5391,-99432
(県)清水9-1,静岡市清水区吉川字広田800番1,,409,"67,800",-1.0,工場、倉庫、事務所のほかに住宅等が見られる工業地域,-3890.994277,-108851.8108
(県)清水9-2,静岡市清水区駒越北町255番4,「駒越北町９−４」,241,"64,700",-5.5,中小規模の工場、倉庫のほか一般住宅も混在する工業地域,-183.9359832,-112628.2798
(県)清水9-3,静岡市清水区長崎字大返シ619番1外,,992,"62,800",-0.6,工場、倉庫を主に一般住宅が混在する工業地域,-5337.456068,-109361.0783
(県)清水9-4,静岡市清水区袖師町字中河原584番1外,,548,"70,000",-1.4,中小規模工場、倉庫の中に一般住宅が混在する工業地域,-951.9300291,-106485.7458
(県)中-1,浜松市中区天神町326番1,「天神町12−19」,238,"86,500",0.0,住宅、事務所等が混在する既成住宅地域,-68507.37638,-142658.2498
(県)中-2,浜松市中区佐藤1丁目274番,「佐藤１−34−３」,185,"88,500",0.0,住宅、アパートのほかに営業所が見られる住宅地域,-68957.53852,-142290.4132
(県)中-3,浜松市中区向宿1丁目100番2,「向宿１−16−6」,188,"81,000",選定替,住宅、アパートのほかに営業所等が見られる住宅地域,-68380,-143147
(県)中-4,浜松市中区蜆塚3丁目19725番15外,「蜆塚３−４−21」,357,"115,000",1.8,中規模一般住宅が多い区画整然とした住宅地域,-1608,-105334
(県)中-5,浜松市中区佐鳴台6丁目125番11外,「佐鳴台６−25−６」,228,"111,000",1.8,中規模一般住宅が多い区画整理済みの住宅地域,-74108.58731,-143588.4282
(県)中-6*,浜松市中区幸2丁目294番15,「幸２−37−10」,287,"83,600",0.8,中規模一般住宅が建ち並ぶ高台の閑静な住宅地域,-70364,-139797
(県)中-7,浜松市中区上浅田1丁目637番2,「上浅田１−９−38」,165,"80,100",0.0,住宅のほかに営業所等が見られる住宅地域,-70880.59152,-144416.3593
(県)中-8,浜松市中区鹿谷町780番,「鹿谷町37−５」,142,"83,600",0.0,一般住宅を主体にアパートも混在する住宅地域,-71493,-142089
(県)中-9,浜松市中区高林3丁目599番1,「高林３−12−35」,142,"98,400",0.4,共同住宅のほか店舗や事務所も見られる一般住宅地域,-69982.35305,-140798.2322
(県)中-10,浜松市中区西伊場町2770番2,「西伊場町28−20」,247,"91,200",0.0,中規模の一般住宅が多い区画整然とした住宅地域,-72802.23272,-143565.4027
(県)中-11*,浜松市中区山手町4899番6外,「山手町37−３」,377,"135,000",1.5,中規模住宅が建ち並ぶ高台の閑静な住宅地域,-72975,-143076
(県)中-12,浜松市中区富塚町字石田1299番34,,200,"83,500",0.8,低層住宅主体の中規模分譲住宅地域,-72705.97046,-140745.1478
(県)中-13,浜松市中区文丘町18番5,「文丘町18−８」,189,"79,500",0.8,文教施設に近い区画整然とした住宅地域,-72004.14481,-141102.2021
(県)中-14,浜松市中区城北2丁目332番10,「城北２−13−15」,277,"103,000",2.0,利便性の良い古くからの閑静な住宅地域,-71361.65988,-141352.1521
(県)中-15,浜松市中区幸1丁目233番2,「幸１−１−25」,145,"78,500",1.9,小規模住宅とアパート等が混在するバイパス背後の住宅地域,-70934.13009,-139705.1768
(県)中-16,浜松市中区和合町字中平237番3外,,208,"68,400",0.7,一般住宅、アパートが混在する谷間の住宅地域,-72063.74706,-139898.2138
(県)中-17,浜松市中区高丘北1丁目132番7,「高丘北１−32−６」,181,"85,200",0.4,一般住宅を主体とする区画整然とした住宅地域,-72400.29159,-137080.8937
(県)中-18,浜松市中区小豆餅1丁目409番5外,「小豆餅１−36−21」,204,"78,100",0.1,一般住宅、アパートが混在する普通住宅地域,-71092.67035,-137566.1732
(県)中-19,浜松市中区萩丘4丁目515番20,「萩丘４−15−28」,180,"84,000",1.2,住宅、アパート等が混在する区画整理済みの住宅地域,-69905,-138657
(県)中-20,浜松市中区幸3丁目643番16,「幸３−16−43」,184,"79,700",0.0,一般住宅のなかにアパート、空地等が見られる住宅地域,-70163.68919,-139498.5174
(県)中-21,浜松市中区上島2丁目1149番1,「上島２−21−23」,309,"83,000",1.0,空地も残る一般住宅の多い既存の住宅地域,-69290.62201,-139335.8317
(県)中-22,浜松市中区東伊場2丁目1177番5,「東伊場２−８−15」,155,"99,000",0.7,一般住宅が建ち並ぶ区画整理済みの住宅地域,-71548.7953,-144109.2727
(県)中-23,浜松市中区小豆餅3丁目1416番7,「小豆餅３−11−18」,158,"73,700",0.3,小規模な作業所等も見られる住宅地域,-70556.20357,-138179.7371
(県)中5-1,浜松市中区海老塚2丁目115番2,「海老塚２−15−３」,425,"101,000",0.0,中層ビル、店舗が混在する駅南商業地域,-70390.07012,-144169.3135
(県)中5-2,浜松市中区元浜町字3丁目180番2外,,123,"102,000",1.0,小売店舗、飲食店舗等が混在する商業地域,-70258.12268,-142217.9107
(県)中5-3*,浜松市中区板屋町102番13外,,396,"243,000",1.7,中層の店舗、事務所が建ち並ぶ商業地域,-70241,-143154
(県)中5-4,浜松市中区高林5丁目879番1外,「高林５−６−15」,1405,"99,000",0.0,店舗、営業所が建ち並ぶ幹線道路沿いの商業地域,-70104.71961,-140292.9502
(県)中5-5,浜松市中区常盤町132番12外,,441,"155,000",0.0,中低層の店舗、事務所を中心とする商業地域,-70453,-142748
(県)中5-6,浜松市中区中央2丁目110番18,「中央２−10−22」,236,"223,000",1.4,中層の店舗兼住宅等が建ち並ぶ新興商業地域,-69823,-142916
(県)中5-7*,浜松市中区鍛冶町320番18外,,231,"600,000",-1.3,中高層ビル、小売店舗が建ち並ぶ中心的商業地域,-70486.10437,-143291.8618
(県)中5-8,浜松市中区千歳町字後道71番1,,88,"350,000",-1.7,中小規模の店舗が建ち並ぶ中心的商業地域,-70478.21345,-143458.0152
(県)中5-9,浜松市中区田町324番7,,106,"230,000",0.9,中高層の店舗、事務所ビルが多い中心商業地域,-70460.28505,-143130.0953
(県)中5-10,浜松市中区野口町字宮東286番1,,137,"107,000",0.9,店舗、営業所、住宅が混在する商業地域,-69827.86674,-142153.2033
(県)中5-11,浜松市中区肴町316番38,,277,"295,000",1.0,中層の店舗ビルが多い商業地域,-70566.78868,-143147.4615
(県)中5-12,浜松市中区中島1丁目1061番,「中島１−36−３」,185,"91,600",0.0,低層の店舗、営業所等が建ち並ぶ路線商業地域,-68695,-143594
(県)中5-13,浜松市中区新津町字下組695番外,,696,"99,500",0.7,低層の店舗、営業所等が建ち並ぶ路線商業地域,-69586.68756,-141730.2734
(県)中5-14,浜松市中区松城町215番27,,223,"119,000",1.7,店舗、事務所、公共施設等が混在する商業地域,-70874.2832,-142897.4106
(県)中5-15,浜松市中区元目町127番25,,155,"111,000",0.9,低層の店舗が建ち並ぶ商業地域,-70504.90332,-142572.4022
(県)中5-16,浜松市中区葵東2丁目370番47,「葵東２−13−３」,495,"97,000",0.0,中低層の店舗、事務所等が建ち並ぶ国道沿いの商業地域,-71298.48234,-137148.0182
(県)中5-17,浜松市中区佐鳴台5丁目128番2外,「佐鳴台５−28−２」,396,"113,000",0.0,店舗、営業所等が並ぶ山手の路線商業地域,-73529.36496,-142765.2443
(県)東-1,浜松市東区原島町字林128番3,,165,"80,400",0.0,一般住宅、アパートのほかに農地等が見られる郊外の住宅地域,-66673.0317,-140795.6046
(県)東-2*,浜松市東区上西町字川田26番8,,279,"93,400",0.3,住宅の中に空地が見られる区画整理済みの住宅地域,-68419.26278,-141541.9863
(県)東-3,浜松市東区大瀬町字鷺宮27番97,,196,"70,200",0.1,住宅、アパートが建ち並ぶ郊外の住宅地域,-67473.95323,-137744.4801
(県)東-4,浜松市東区笠井町字西浦523番6,,196,"64,400",0.0,一般住宅の中に小工場等が見られる既成住宅地域,-64351,-136251
(県)東-5,浜松市東区半田山5丁目2148番4,「半田山５−12−９」,209,"85,400",0.4,一般住宅とアパートが建ち並ぶ住宅地域,-69561.43205,-135579.9389
(県)東-6,浜松市東区中野町字往還道北398番1外,,232,"59,500",-0.7,中小規模の一般住宅が多い既成住宅地域,-64574.47559,-140740.3922
(県)東-7,浜松市東区薬師町字村中107番2外,,255,"78,100",0.3,一般住宅の中に空地等が見られる住宅地域,-65854.4946,-141267.8756
(県)東-8,浜松市東区西ケ崎町字ヲキ1615番1,,287,"61,500",0.0,一般住宅のほか作業所等も混在する既成住宅地域,-67257.24626,-135932.9377
(県)東-9,浜松市東区常光町字一丁田194番6,,297,"45,000",-0.9,一般住宅、農家住宅等が見られる農地の多い住宅地域,-64119.47027,-137968.1182
(県)東5-1,浜松市東区丸塚町543番16,,227,"91,400",0.0,中小規模の店舗、事務所ビルが多い路線商業地域,-68425,-141017
(県)東5-2,浜松市東区和田町字中島793番2,,2191,"114,000",0.0,中規模の店舗、営業所等が建ち並ぶ国道沿いの路線商業地域,-67216.30115,-141570.5636
(県)東5-3,浜松市東区篠ヶ瀬町字西藪田1364番1,,342,"88,600",0.0,低層の店舗、営業所等が多い路線商業地域,-66234.24731,-141473.8307
(県)東9-1,浜松市東区上新屋町字高川148番外,,2042,"53,600",選定替,中小規模の工場、倉庫が多く見られる工業地域,-67803,-140498
(県)西-1,浜松市西区志都呂町字東平300番91,,203,"71,000",0.0,一般住宅等が建ち並ぶ区画整然とした住宅地域,-77166.6514,-143704.596
(県)西-2,浜松市西区坪井町字中組北5411番,,314,"51,000",-2.7,中規模一般住宅が建ち並ぶ既存の住宅地域,-78425,-145667
(県)西-3,浜松市西区舘山寺町字将監畑2455番1,,217,"39,100",-3.0,一般住宅のほかにアパート等が混在する住宅地域,-81155.57251,-137137.3672
(県)西-4,浜松市西区入野町字彦尾前792番3,,264,"87,000",0.6,中規模一般住宅、マンションが混在する住宅地域,-73488.95648,-143908.1355
(県)西-5,浜松市西区篠原町字西前20560番,,267,"58,000",-3.0,一般住宅、小工場、農家住宅が混在する住宅地域,-76863,-145679
(県)西-6,浜松市西区舞阪町舞阪字浜表4169番2,,238,"47,200",-3.5,一般住宅の中に空地等が見られる住宅地域,-81236.4425,-146009.8518
(県)西-7,浜松市西区舞阪町弁天島字千鳥園3154番4,,145,"36,800",-3.2,別荘も混在する一般住宅地域,-82075.31698,-144422.8642
(県)西-8,浜松市西区雄踏町宇布見字小山4761番1,,296,"62,500",-5.3,中規模の一般住宅のほかに店舗が混在する利便性の良い住宅地域,-78886.84117,-144184.9374
(県)西-9,浜松市西区雄踏町山崎字村前3542番2外,,247,"42,200",-5.0,中規模の一般住宅、農家住宅等が混在する古くからの住宅地域,-80458,-142707
(県)西-10,浜松市西区舞阪町浜田698番,,183,"51,000",-2.5,中規模一般住宅が多い国道背後の住宅地域,-80067.54907,-145829.6285
(県)西-11,浜松市西区西山町字当り1055番84,,194,"59,200",-0.2,一般住宅が建ち並ぶ郊外の区画整然とした住宅地域,-74538,-139963
(県)西5-1,浜松市西区舞阪町舞阪字仲町1976番1,,115,"53,000",-3.6,店舗併用住宅の建ち並ぶ商業地域,-81450.41877,-145570.3494
(県)西5-2,浜松市西区雄踏町宇布見字西ケ崎7995番1,,213,"63,000",-4.5,小規模低層の店舗が建ち並ぶ古くからの商業地域,-79446,-143806
(県)南-1,浜松市南区中田島町字浜新田1535番,,243,"41,400",-8.0,一般住宅等が建ち並ぶ区画整然とした住宅地域,-69770.26066,-147640.7888
(県)南-2,浜松市南区芳川町字大橋前640番2,,242,"70,600",0.0,中規模の一般住宅が多い郊外の住宅地域,-67304.40534,-145351.665
(県)南-3,浜松市南区遠州浜2丁目1717番23,「遠州浜２−14−３」,169,"32,500",-9.7,中規模一般住宅が建ち並ぶ海岸に近い住宅地域,-66886,-148665
(県)南-4,浜松市南区増楽町1640番1,,201,"72,200",0.1,一般住宅のほかに農家住宅等も見られる住宅地域,-73855.90093,-144801.9275
(県)南-5,浜松市南区三島町字中通589番3,,141,"74,500",0.0,一般住宅、アパート、農地等が混在する住宅地域,-69460,-145249
